time,lat,lon,SoilMoi0_10cm_inst,SoilMoi10_40cm_inst,RootMoist_inst,SoilTMP0_10cm_inst,Tair_f_inst,Rainf_tavg,Evap_tavg,SWdown_f_tavg,LWdown_f_tavg,Qs_acc,Qsb_acc,Qsm_acc,CanopInt_inst,provincia,canton
2020-01-01,-2.875,-77.625,36.26702,109.78013,754.89435,297.67828,298.0052,6.0820563e-05,4.076989e-05,167.9777,407.59692,0.055122297,0.095748626,0.0,0.11157258,Morona Santiago,Tiwintza
2020-01-01,-2.625,-80.375,17.651964,62.4075,172.39157,301.09363,298.81888,1.1236693e-05,9.112633e-06,233.80258,407.9779,0.0006589919,0.00024108871,0.0,0.03282258,Guayas,Playas
2020-01-01,-2.625,-79.875,,,,,299.534,,,208.44319,415.47342,,,,,Guayas,Guayaquil
2020-01-01,-2.625,-79.625,24.353508,77.64293,361.4402,300.9335,299.56247,4.1872176e-05,1.8068682e-05,197.63936,410.58636,0.042260684,7e-05,0.0,0.081370965,Guayas,Naranjal
2020-01-01,-2.625,-79.375,20.91733,63.570896,300.54465,294.60733,293.30844,4.2404434e-05,1.7620698e-05,195.40112,374.20425,0.016692983,0.0002596371,0.0,0.09082258,Azuay,Cuenca
2020-01-01,-2.625,-79.125,24.927912,75.627625,331.66522,288.84695,286.67502,4.2370564e-05,1.5621505e-05,211.81601,331.60004,0.016489314,0.0046539516,0.0,0.09247984,Cañar,Cañar
2020-01-01,-2.625,-78.875,32.565056,99.78873,333.56406,285.91995,282.99692,6.5283064e-05,2.6668278e-05,230.46512,342.3906,0.067308426,0.08116044,0.0,0.111048386,Cañar,Cañar
2020-01-01,-2.625,-78.625,28.727613,86.60742,483.79956,285.94144,282.86407,7.046613e-05,2.4225537e-05,203.36601,349.7267,0.042816855,0.15826839,0.0,0.12358468,Cañar,Azogues
2020-01-01,-2.625,-78.375,28.15727,84.62582,554.42615,292.4691,290.27042,7.076855e-05,3.3641667e-05,191.31589,396.35535,0.0380375,0.08001875,0.0,0.115653224,Morona Santiago,Santiago
2020-01-01,-2.625,-78.125,27.830948,83.363945,542.3462,294.29062,292.27283,7.015161e-05,3.6923924e-05,180.16347,412.33917,0.023634799,0.05464641,0.0,0.12472984,Morona Santiago,Logroño
2020-01-01,-2.625,-77.875,40.282547,121.46795,825.21564,295.02472,295.1521,6.072097e-05,3.636868e-05,153.35983,395.493,0.17599863,0.07578859,0.0,0.12644757,Morona Santiago,Morona
2020-01-01,-2.625,-77.625,36.235317,109.616936,753.0713,297.12048,297.5941,6.0405644e-05,4.1331987e-05,165.54439,405.69644,0.0599825,0.09133831,0.0,0.11795565,Morona Santiago,Taisha
2020-01-01,-2.625,-77.375,36.261673,109.67258,754.39264,297.33322,297.74704,6.045968e-05,4.072997e-05,168.33032,405.7056,0.044306006,0.096898586,0.0,0.12955645,Morona Santiago,Taisha
2020-01-01,-2.625,-77.125,36.198574,109.57525,754.2924,297.36124,297.84464,6.0632257e-05,4.1277955e-05,168.42606,405.69955,0.05359367,0.096295886,0.0,0.12628226,Morona Santiago,Taisha
2020-01-01,-2.625,-76.875,35.759346,108.17041,743.5216,297.97653,298.21283,5.1272982e-05,4.8102553e-05,198.14137,406.85632,0.028754637,0.071248874,0.0,0.11303629,Morona Santiago,Taisha
2020-01-01,-2.375,-80.625,17.829096,65.933014,148.33174,301.3207,298.66638,1.1228629e-05,9.4158595e-06,244.2173,405.17984,0.00069274195,0.00031096773,0.0,0.02610887,Santa Elena,Santa Elena
2020-01-01,-2.375,-80.375,17.148928,55.40544,145.40903,301.57825,299.31476,1.1165323e-05,9.081182e-06,204.02084,414.81583,0.0006181048,0.00035524194,0.0,0.032798387,Guayas,Guayaquil
2020-01-01,-2.375,-80.125,17.136274,44.8132,125.93521,302.44742,300.02057,1.3749193e-05,9.576746e-06,202.47658,420.60748,0.00073032256,0.0013994758,0.0,0.049116936,Guayas,Guayaquil
2020-01-01,-2.375,-79.875,23.595892,79.04658,342.376,302.59433,300.86252,4.181008e-05,1.8146504e-05,186.93843,424.79227,0.04243883,0.00011971774,0.0,0.07705242,Guayas,Guayaquil
2020-01-01,-2.375,-79.625,24.335356,79.48785,382.27634,302.2257,300.9676,4.231613e-05,1.960094e-05,176.25609,425.38745,0.032790966,3e-05,0.0,0.084754035,Guayas,Naranjal
2020-01-01,-2.375,-79.375,25.396101,82.95541,446.2904,302.03897,300.7008,4.2544758e-05,2.0314246e-05,195.03798,418.4684,0.034999155,0.0,0.0,0.08359274,Cañar,La Troncal
2020-01-01,-2.375,-79.125,21.844706,66.62899,266.82697,295.81577,294.27356,4.2188305e-05,1.5316666e-05,202.74754,379.38037,0.010834758,0.00051705644,0.0,0.096366934,Cañar,Cañar
2020-01-01,-2.375,-78.875,32.271706,99.87276,333.61127,289.89777,286.5606,6.579879e-05,2.5610618e-05,237.284,356.78265,0.050051372,0.08340576,0.0,0.12687904,Chimborazo,Chunchi
2020-01-01,-2.375,-78.625,34.190636,103.70146,484.20157,284.24203,281.00296,7.0329435e-05,2.4937633e-05,212.9025,334.4379,0.050685726,0.14794798,0.0,0.13993952,Chimborazo,Alausí
2020-01-01,-2.375,-78.375,28.748814,86.488495,570.7114,288.3601,286.0193,7.046573e-05,2.6664246e-05,179.55624,371.4115,0.036799233,0.12580447,0.0,0.13151613,Morona Santiago,Morona
2020-01-01,-2.375,-78.125,27.600801,82.697914,536.5199,293.72092,291.83026,6.97e-05,3.8002956e-05,185.20795,406.51794,0.028429152,0.04536976,0.0,0.12782258,Morona Santiago,Morona
2020-01-01,-2.375,-77.875,31.417068,95.37953,668.79486,293.2292,293.1488,6.055e-05,3.171989e-05,149.75435,384.22382,0.04166153,0.18195178,0.0,0.14134677,Morona Santiago,Morona
2020-01-01,-2.375,-77.625,36.431267,110.14585,758.2215,295.90198,296.33786,6.0466937e-05,3.8933602e-05,160.70766,398.97934,0.048600364,0.10803931,0.0,0.13758467,Morona Santiago,Taisha
2020-01-01,-2.375,-77.375,36.342285,109.85083,755.62024,296.76715,297.26752,6.0499195e-05,3.9637634e-05,162.77295,403.0156,0.042614877,0.101454474,0.0,0.139,Morona Santiago,Taisha
2020-01-01,-2.375,-77.125,36.24825,109.65239,754.2327,297.0966,297.62283,6.0659273e-05,3.9981987e-05,163.69202,404.26547,0.058608346,0.09547412,0.0,0.13610888,Morona Santiago,Taisha
2020-01-01,-2.375,-76.875,35.82801,108.36081,744.396,297.71982,298.00183,5.128226e-05,4.668965e-05,194.6875,405.56946,0.03415484,0.07219585,0.0,0.10873387,Pastaza,Pastaza
